function,deg,value
SRE,deg0,0.934679240229685
LRE,deg0,45.657675522223634
GLN,deg0,1103.217499258506
RLN,deg0,99681.16792508792
RP,deg0,1.1660573122529645
LGLRE,deg0,0.00023080946094626464
HGL,deg0,0.934679240229685
SRLGLE,deg0,0.000207708566401199
SRHGLE,deg0,8973.181464858826
LRLGLE,deg0,1.0
LRHGLE,deg0,33726.96283208339
SRE,deg45,0.9508658495386507
LRE,deg45,9.838310694238572
GLN,deg45,1144.467515531472
RLN,deg45,108846.51723244153
RP,deg45,1.2199505928853756
LGLRE,deg45,0.00024667007251115815
HGL,deg45,0.9508658495386507
SRLGLE,deg45,0.00021849191699213397
SRHGLE,deg45,9119.499806852791
LRLGLE,deg45,1.0
LRHGLE,deg45,14914.650280659976
SRE,deg90,0.9473683308462189
LRE,deg90,11.367664160647307
GLN,deg90,1131.068759929897
RLN,deg90,106644.80092706338
RP,deg90,1.2065810276679843
LGLRE,deg90,0.00024238509194758712
HGL,deg90,0.9473683308462189
SRLGLE,deg90,0.00021624746365764437
SRHGLE,deg90,9129.645083673888
LRLGLE,deg90,1.0
LRHGLE,deg90,15918.298224493474
SRE,deg135,0.9523849193180967
LRE,deg135,9.63506151284414
GLN,deg135,1145.7924244628741
RLN,deg135,109517.98936256203
RP,deg135,1.2224703557312253
LGLRE,deg135,0.0002481454278798547
HGL,deg135,0.9523849193180967
SRLGLE,deg135,0.00022093809649476986
SRHGLE,deg135,9082.100063772159
LRLGLE,deg135,1.0
LRHGLE,deg135,14831.49128635401
